"","genes","logFC","logCPM","F","PValue","FDR"
"ENSG00000118518.16","ENSG00000118518.16",-0.216153190531057,4.0081904548091,8.77290404069716,0.00322877847060833,0.00559095839066377
"ENSG00000131165.16","ENSG00000131165.16",0.236793120601214,4.68218235127008,8.7627763537406,0.00324638752332083,0.00562043646959062
"ENSG00000166471.11","ENSG00000166471.11",0.209537715917945,4.92180427284556,8.75695767415194,0.0032565487871309,0.00563701196474155
"ENSG00000111731.12","ENSG00000111731.12",0.30377355405496,3.23264275847114,8.75639480685473,0.00325753345259682,0.00563769986387768
"ENSG00000120656.12","ENSG00000120656.12",0.253428591231435,4.3499832959137,8.7512965376912,0.00326646608505147,0.0056521403057848
"ENSG00000130024.15","ENSG00000130024.15",-0.276864461490839,4.14291799647759,8.7498700060369,0.00326896997187078,0.00565545354657767
"ENSG00000125734.15","ENSG00000125734.15",0.202611749917557,5.67087242948495,8.73781919635259,0.00329020020475861,0.00569115711093382
"ENSG00000137965.11","ENSG00000137965.11",-0.605222620853854,4.77787496520202,8.73692724641449,0.00329177715923655,0.00569285907560275
"ENSG00000142657.21","ENSG00000142657.21",0.392357911694158,6.63157548640919,8.73650753012024,0.00329251947840766,0.00569311725373083
"ENSG00000139998.16","ENSG00000139998.16",0.378469600734117,3.83127373423235,8.73197931757676,0.00330053904506841,0.00570595620973469
"ENSG00000167165.19","ENSG00000167165.19",0.756266406946384,3.32317184962504,8.72561976178839,0.0033118356370556,0.00572445482818396
"ENSG00000122644.13","ENSG00000122644.13",0.526108119165612,3.73669974170849,8.71692883984531,0.00332733732511011,0.0057502139191822
"ENSG00000140264.21","ENSG00000140264.21",0.393368225138695,6.32631251608616,8.71566940134802,0.00332958987665731,0.00575307106117894
"ENSG00000087245.13","ENSG00000087245.13",0.852533038411831,4.54446669522967,8.69883956994345,0.00335984045448527,0.00580429518860151
"ENSG00000120742.11","ENSG00000120742.11",-0.193198416939261,6.36675017683941,8.68916189408847,0.00337736237289179,0.00583351543356625
"ENSG00000114030.13","ENSG00000114030.13",-0.236131678102459,3.52667006546897,12.1424888195728,0.00338097871838109,0.0058387112244034
"ENSG00000120910.15","ENSG00000120910.15",-0.272180531135108,3.18791710414653,8.84661467729512,0.00338645244988081,0.0058471121436791
